YEAR,DATE,PRICE
2014,2014-09-18,100
2014,2014-09-19,104
2014,2014-09-20,104
2014,2014-09-21,99
2014,2014-09-22,106
2014,2014-09-23,113
2014,2014-09-24,102
2014,2014-09-25,98
2014,2014-09-26,99
2014,2014-09-27,102
2014,2014-09-28,105
2014,2014-09-29,122
2014,2014-09-30,108
2014,2014-10-01,103
2014,2014-10-02,105
2014,2014-10-03,110
2014,2014-10-04,107
2014,2014-10-05,111
2014,2014-10-06,100
2014,2014-10-07,113
2014,2014-10-08,112
2014,2014-10-09,114
2014,2014-10-10,114
2014,2014-10-11,113
2014,2014-10-12,110
2014,2014-10-13,107
2014,2014-10-14,108
2014,2014-10-15,109
2014,2014-10-16,109
2014,2014-10-17,113
2014,2014-10-18,109
2014,2014-10-19,111
2014,2014-10-20,114
2014,2014-10-21,108
2014,2014-10-22,124
2014,2014-10-23,117
2014,2014-10-24,113
2014,2014-10-25,113
2014,2014-10-26,106
2014,2014-10-27,115
2014,2014-10-28,117
2014,2014-10-29,106
2014,2014-10-30,103
2014,2014-10-31,105
2014,2014-11-01,107
2014,2014-11-02,114
2014,2014-11-03,109
2014,2014-11-04,108
2014,2014-11-05,108
2014,2014-11-06,108
2014,2014-11-07,109
2014,2014-11-08,110
2014,2014-11-09,104
2014,2014-11-10,110
2014,2014-11-11,112
2014,2014-11-12,111
2014,2014-11-13,110
2014,2014-11-14,111
2014,2014-11-15,106
2014,2014-11-16,103
2014,2014-11-17,104
2014,2014-11-18,113
2014,2014-11-19,110
2014,2014-11-20,100
2014,2014-11-21,107
2014,2014-11-22,110
2014,2014-11-23,108
2014,2014-11-24,106
2014,2014-11-25,103
2014,2014-11-26,99
2014,2014-11-27,103
2014,2014-11-28,108
2014,2014-11-29,105
2014,2014-11-30,108
2014,2014-12-01,107
2014,2014-12-02,108
2014,2014-12-03,112
2014,2014-12-04,111
2014,2014-12-05,111
2014,2014-12-06,109
2014,2014-12-07,106
2014,2014-12-08,111
2014,2014-12-09,108
2014,2014-12-10,118
2014,2014-12-11,108
2014,2014-12-12,109
2014,2014-12-13,110
2014,2014-12-14,100
2014,2014-12-15,107
2014,2014-12-16,98
2014,2014-12-17,102
2014,2014-12-18,102
2014,2014-12-19,105
2014,2014-12-20,116
2014,2014-12-21,112
2014,2014-12-22,103
2014,2014-12-23,106
2014,2014-12-24,107
2014,2014-12-25,112
2014,2014-12-26,117
2014,2014-12-27,120
2014,2014-12-28,119
2014,2014-12-29,118
2014,2014-12-30,117
2014,2014-12-31,130
2015,2015-01-01,125
2015,2015-01-02,118
2015,2015-01-03,117
2015,2015-01-04,123
2015,2015-01-05,126
2015,2015-01-06,115
2015,2015-01-07,121
2015,2015-01-08,129
2015,2015-01-09,125
2015,2015-01-10,119
2015,2015-01-11,118
2015,2015-01-12,123
2015,2015-01-13,119
2015,2015-01-14,128
2015,2015-01-15,132
2015,2015-01-16,137
2015,2015-01-17,136
2015,2015-01-18,129
2015,2015-01-19,129
2015,2015-01-20,136
2015,2015-01-21,138
2015,2015-01-22,145
2015,2015-01-23,130
2015,2015-01-24,132
2015,2015-01-25,133
2015,2015-01-26,136
2015,2015-01-27,130
2015,2015-01-28,129
2015,2015-01-29,139
2015,2015-01-30,137
2015,2015-01-31,135
2015,2015-02-01,133
2015,2015-02-02,143
2015,2015-02-03,141
2015,2015-02-04,160
2015,2015-02-05,148
2015,2015-02-06,147
2015,2015-02-07,146
2015,2015-02-08,147
2015,2015-02-09,144
2015,2015-02-10,147
2015,2015-02-11,151
2015,2015-02-12,146
2015,2015-02-13,163
2015,2015-02-14,165
2015,2015-02-15,148
2015,2015-02-16,155
2015,2015-02-17,164
2015,2015-02-18,151
2015,2015-02-19,161
2015,2015-02-20,161
2015,2015-02-21,161
2015,2015-02-22,152
2015,2015-02-23,163
2015,2015-02-24,154
2015,2015-02-25,154
2015,2015-02-26,165
2015,2015-02-27,165
2015,2015-02-28,169
2015,2015-03-01,162
2015,2015-03-02,167
2015,2015-03-03,171
2015,2015-03-04,170
